	ligand	mean	var_propagated	std_propagated	var	std	median	mad	std_prop %	std %
NAD_G3P_cl000	G3P	-50.2666540816	52.5222539592	7.24722387947	52.5222539592	7.24722387947	-49.92195	4.98145	14.4175577465	14.4175577465
NAD_G3P_cl000_2	G3P	-52.9338377551	62.8385940499	7.92707979334	62.8385940499	7.92707979334	-52.9628	5.4065	14.9754488424	14.9754488424
NAD_G3P_cl001	G3P	-62.6110622449	63.2978093936	7.95599204333	63.2978093936	7.95599204333	-63.978	5.66645	12.7070069698	12.7070069698
NAD_G3P_cl001_2	G3P	-48.9296704082	139.66794824	11.8181194883	139.66794824	11.8181194883	-49.00285	9.6317	24.1532783477	24.1532783477
NAD_G3P_cl012	G3P	-57.7760428571	67.3452620198	8.20641590585	67.3452620198	8.20641590585	-58.4148	4.12875	14.2038386501	14.2038386501
NAD_G3P_cl012_2	G3P	-67.5113265306	75.0289762809	8.66192682265	75.0289762809	8.66192682265	-68.2362	5.2695	12.8303312463	12.8303312463
NAD_DPG_cl100	DPG	-45.409355102	206.719584168	14.3777461435	206.719584168	14.3777461435	-48.41615	9.76665	31.6625200054	31.6625200054
NAD_DPG_cl100_2	DPG	-58.2477622449	89.1578417452	9.44234302201	89.1578417452	9.44234302201	-59.09755	7.01305	16.210653694	16.210653694
NAD_DPG_cl101	DPG	-48.3186214286	164.803385978	12.837577107	164.803385978	12.837577107	-48.9836	8.2511	26.5685914197	26.5685914197
NAD_DPG_cl101_2	DPG	-45.5757969388	95.6016071513	9.77760743492	95.6016071513	9.77760743492	-45.54665	6.04165	21.4535084226	21.4535084226
NAD_DPG_cl220	DPG	-47.2422255102	119.790559426	10.9448873647	119.790559426	10.9448873647	-46.2706	8.6546	23.1675947662	23.1675947662
NAD_DPG_cl220_2	DPG	-74.7096183673	84.4507669303	9.18970983929	84.4507669303	9.18970983929	-74.94985	6.00895	12.3005712519	12.3005712519
NAD_remG3P_G3P_cl010	G3P	-53.3913387755	71.6178431587	8.46273260588	71.6178431587	8.46273260588	-54.7312	4.63035	15.8503847253	15.8503847253
NAD_remG3P_G3P_cl010_2	G3P	-60.2829877551	44.6003033247	6.67834585244	44.6003033247	6.67834585244	-60.534	4.82055	11.0783259111	11.0783259111
NAD_remG3P_G3P_cl100	G3P	-47.1605091837	68.2432845835	8.26094937543	68.2432845835	8.26094937543	-46.7429	4.91975	17.5166670556	17.5166670556
NAD_remG3P_G3P_cl100_2	G3P	-56.8735336735	123.400334014	11.1085702957	123.400334014	11.1085702957	-58.7404	7.38965	19.5320557352	19.5320557352
NAD_remG3P_G3P_cl200	G3P	-47.0101040816	56.6348546102	7.52561323815	56.6348546102	7.52561323815	-48.73405	4.6508	16.0085015449	16.0085015449
NAD_remG3P_G3P_cl200_2	G3P	-52.6549857143	37.9219299394	6.15807842914	37.9219299394	6.15807842914	-52.81015	3.97215	11.695147849	11.695147849
NAD_remG3P_DPG_cl100	DPG	-78.3907173469	159.038384684	12.6110421728	159.038384684	12.6110421728	-81.17	9.2546	16.0874177449	16.0874177449
NAD_remG3P_DPG_cl100_2	DPG	-53.5002285714	125.720672464	11.2125230195	125.720672464	11.2125230195	-52.07135	8.07405	20.9578974127	20.9578974127
NAD_remG3P_DPG_cl120	DPG	-65.3215520408	137.888900258	11.7426104533	137.888900258	11.7426104533	-66.1626	8.7936	17.9766249981	17.9766249981
NAD_remG3P_DPG_cl120_2	DPG	-75.6445867347	98.4664921558	9.92302837625	98.4664921558	9.92302837625	-75.41385	6.14715	13.1179623085	13.1179623085
NAD_remG3P_DPG_cl210	DPG	-70.6503265306	161.955371763	12.7261687779	161.955371763	12.7261687779	-73.7377	7.34225	18.0128944944	18.0128944944
NAD_remG3P_DPG_cl210_2	DPG	-77.3817663265	232.642691212	15.2526289935	232.642691212	15.2526289935	-77.26155	10.8956	19.7108824437	19.7108824437
G3P sumup	G3P	-54.7835044218	5.9938846776	2.44824113959	37.4942537798	6.12325516207	-53.1625882653	4.42318622449	4.46893853439	11.1771877807
DPG sumup	DPG	-61.6993797619	11.640529569	3.41182203068	164.503438144	12.8258893705	-61.7846571429	13.6629826531	5.52975093727	20.7877119997
ddG	DPG-G3P	-6.91587534014	17.6344142466	4.19933497671	201.997691924	14.2125892055	-8.62206887755	18.0861688776	60.7202236908	205.506729177
dKd	DPG-G3P	8.52366783139e-06	7.12019025181e-09	0.0102037882037	3.25628854792e-16	223115.710511	4.78605362803e-07	8654375.60364	119711.237059	2.61760212768e+12
