	ligand	mean	var_propagated	std_propagated	var	std	median	mad	std_prop %	std %
NAD_G3P_cl000	G3P	-51.7731095238	52.8613745545	7.27058282083	52.8613745545	7.27058282083	-51.1531	5.0177	14.0431642752	14.0431642752
NAD_G3P_cl000_2	G3P	-55.4082460317	45.6387069898	6.75564260376	45.6387069898	6.75564260376	-54.5067	4.3356	12.1924859341	12.1924859341
NAD_G3P_cl001	G3P	-61.6688492063	60.4302518473	7.773689719	60.4302518473	7.773689719	-63.1364	5.2964	12.6055371862	12.6055371862
NAD_G3P_cl001_2	G3P	-46.7700857143	135.463213963	11.638866524	135.463213963	11.638866524	-45.9574	9.0526	24.8852794392	24.8852794392
NAD_G3P_cl012	G3P	-59.5831968254	54.3953422381	7.37531980582	54.3953422381	7.37531980582	-59.2306	4.8135	12.3781874736	12.3781874736
NAD_G3P_cl012_2	G3P	-67.7872920635	78.0271673445	8.83329878044	78.0271673445	8.83329878044	-68.321	5.2292	13.0309066959	13.0309066959
NAD_DPG_cl100	DPG	-41.5865111111	217.872051064	14.7604895266	217.872051064	14.7604895266	-43.1731	9.9773	35.4934548059	35.4934548059
NAD_DPG_cl100_2	DPG	-55.5366650794	94.4547171953	9.71878167237	94.4547171953	9.71878167237	-56.1436	6.1572	17.4997574278	17.4997574278
NAD_DPG_cl101	DPG	-43.7875825397	153.22897629	12.3785692344	153.22897629	12.3785692344	-44.1946	8.3655	28.2695881261	28.2695881261
NAD_DPG_cl101_2	DPG	-45.5590142857	113.099052381	10.6348038243	113.099052381	10.6348038243	-43.6198	7.5433	23.3429190491	23.3429190491
NAD_DPG_cl220	DPG	-48.017915873	147.80787772	12.1576263193	147.80787772	12.1576263193	-48.0943	9.3815	25.3189379386	25.3189379386
NAD_DPG_cl220_2	DPG	-73.473684127	66.7963822124	8.17290537156	66.7963822124	8.17290537156	-73.871	5.6034	11.1235818221	11.1235818221
NAD_remG3P_G3P_cl010	G3P	-51.9443190476	73.5335015711	8.57516772845	73.5335015711	8.57516772845	-52.6985	5.1172	16.5083841422	16.5083841422
NAD_remG3P_G3P_cl010_2	G3P	-59.7654714286	45.9081819182	6.77555768319	45.9081819182	6.77555768319	-60.0461	4.7933	11.3369099603	11.3369099603
NAD_remG3P_G3P_cl100	G3P	-49.1941793651	48.0131541429	6.92915248374	48.0131541429	6.92915248374	-47.8799	4.5128	14.0853096305	14.0853096305
NAD_remG3P_G3P_cl100_2	G3P	-55.1890492063	151.808164999	12.321045613	151.808164999	12.321045613	-57.3587	9.0074	22.3251637603	22.3251637603
NAD_remG3P_G3P_cl200	G3P	-45.7354365079	65.7141922182	8.10642906699	65.7141922182	8.10642906699	-46.6487	4.7378	17.7246128734	17.7246128734
NAD_remG3P_G3P_cl200_2	G3P	-52.2269238095	38.2255268434	6.1826795844	38.2255268434	6.1826795844	-52.5727	4.2259	11.8381078827	11.8381078827
NAD_remG3P_DPG_cl100	DPG	-74.9913047619	168.513893203	12.9812901209	168.513893203	12.9812901209	-76.1689	11.1302	17.3103937345	17.3103937345
NAD_remG3P_DPG_cl100_2	DPG	-49.770568254	99.0302127882	9.95139250498	99.0302127882	9.95139250498	-48.9667	6.3429	19.9945326206	19.9945326206
NAD_remG3P_DPG_cl120	DPG	-62.9384396825	154.525331725	12.4308218443	154.525331725	12.4308218443	-61.3713	8.1917	19.7507626611	19.7507626611
NAD_remG3P_DPG_cl120_2	DPG	-77.0755492063	117.473576322	10.8385227924	117.473576322	10.8385227924	-78.1651	7.0846	14.0622063729	14.0622063729
NAD_remG3P_DPG_cl210	DPG	-67.8125111111	171.946103552	13.1128221048	171.946103552	13.1128221048	-70.6462	7.0685	19.3368773549	19.3368773549
NAD_remG3P_DPG_cl210_2	DPG	-71.4119063492	186.299995904	13.6491756493	186.299995904	13.6491756493	-72.3105	11.7302	19.1133052554	19.1133052554
G3P sumup	G3P	-54.7538465608	5.90290818493	2.42959012694	38.8241870207	6.23090579456	-53.7079865079	5.19450873016	4.4372957875	11.379850341
DPG sumup	DPG	-59.3301376984	11.7433900719	3.42686300746	164.245386257	12.8158256175	-59.237552381	12.9264460317	5.77592289585	21.6008694984
ddG	DPG-G3P	-4.57629113757	17.6462982568	4.20074972557	203.069573278	14.250248183	-5.52956587302	18.1209547619	91.7937604774	311.392954571
dKd	DPG-G3P	0.000442134298333	3.68453146151e-07	0.530549785786	1.58506231291e-14	12332810.904	8.84705535726e-05	1696505072.79	119997.427882	2.78938117909e+12
