Priority	2pg[c]	pep[c]	param_ENO_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0	1	7.5	25	"/home/mrama/Dropbox/PhD_stuff/Projects/MD/eMASS-MD/enzyme_models/ENO/ENO_param_inf/input/haldaneRatio_1.txt"	5.19
1	0	0	1	7.5	25	"/home/mrama/Dropbox/PhD_stuff/Projects/MD/eMASS-MD/enzyme_models/ENO/ENO_param_inf/input/haldaneRatio_1.txt"	5.19
1	0	0	1	7.5	25	"/home/mrama/Dropbox/PhD_stuff/Projects/MD/eMASS-MD/enzyme_models/ENO/ENO_param_inf/input/haldaneRatio_1.txt"	5.19
1	0	0	1	7.5	25	"/home/mrama/Dropbox/PhD_stuff/Projects/MD/eMASS-MD/enzyme_models/ENO/ENO_param_inf/input/haldaneRatio_1.txt"	5.19
1	0	0	1	7.5	25	"/home/mrama/Dropbox/PhD_stuff/Projects/MD/eMASS-MD/enzyme_models/ENO/ENO_param_inf/input/haldaneRatio_1.txt"	5.19
1	0	0	1	7.5	25	"/home/mrama/Dropbox/PhD_stuff/Projects/MD/eMASS-MD/enzyme_models/ENO/ENO_param_inf/input/haldaneRatio_1.txt"	5.19
1	0	0	1	7.5	25	"/home/mrama/Dropbox/PhD_stuff/Projects/MD/eMASS-MD/enzyme_models/ENO/ENO_param_inf/input/haldaneRatio_1.txt"	5.19
1	0	0	1	7.5	25	"/home/mrama/Dropbox/PhD_stuff/Projects/MD/eMASS-MD/enzyme_models/ENO/ENO_param_inf/input/haldaneRatio_1.txt"	5.19
1	0	0	1	7.5	25	"/home/mrama/Dropbox/PhD_stuff/Projects/MD/eMASS-MD/enzyme_models/ENO/ENO_param_inf/input/haldaneRatio_1.txt"	5.19
1	0	0	1	7.5	25	"/home/mrama/Dropbox/PhD_stuff/Projects/MD/eMASS-MD/enzyme_models/ENO/ENO_param_inf/input/haldaneRatio_1.txt"	5.19
1	0	0	1	7.5	25	"/home/mrama/Dropbox/PhD_stuff/Projects/MD/eMASS-MD/enzyme_models/ENO/ENO_param_inf/input/haldaneRatio_1.txt"	5.19
1	0.01	0	1	8.1	30	"/home/mrama/Dropbox/PhD_stuff/Projects/MD/eMASS-MD/enzyme_models/ENO/ENO_param_inf/input/absRateFor.txt"	330
1	0.01	0	1	8.1	30	"/home/mrama/Dropbox/PhD_stuff/Projects/MD/eMASS-MD/enzyme_models/ENO/ENO_param_inf/input/absRateFor.txt"	330
1	0.01	0	1	8.1	30	"/home/mrama/Dropbox/PhD_stuff/Projects/MD/eMASS-MD/enzyme_models/ENO/ENO_param_inf/input/absRateFor.txt"	330
1	0.01	0	1	8.1	30	"/home/mrama/Dropbox/PhD_stuff/Projects/MD/eMASS-MD/enzyme_models/ENO/ENO_param_inf/input/absRateFor.txt"	330
1	0.01	0	1	8.1	30	"/home/mrama/Dropbox/PhD_stuff/Projects/MD/eMASS-MD/enzyme_models/ENO/ENO_param_inf/input/absRateFor.txt"	330
