Priority	2pg[c]	pep[c]	param_ENO_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/ENO/ENO_param_inf2/input/haldaneRatio_1.txt"	5.19
1	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/ENO/ENO_param_inf2/input/haldaneRatio_1.txt"	5.19
1	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/ENO/ENO_param_inf2/input/haldaneRatio_1.txt"	5.19
1	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/ENO/ENO_param_inf2/input/haldaneRatio_1.txt"	5.19
1	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/ENO/ENO_param_inf2/input/haldaneRatio_1.txt"	5.19
1	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/ENO/ENO_param_inf2/input/haldaneRatio_1.txt"	5.19
1	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/ENO/ENO_param_inf2/input/haldaneRatio_1.txt"	5.19
1	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/ENO/ENO_param_inf2/input/haldaneRatio_1.txt"	5.19
1	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/ENO/ENO_param_inf2/input/haldaneRatio_1.txt"	5.19
1	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/ENO/ENO_param_inf2/input/haldaneRatio_1.txt"	5.19
1	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/ENO/ENO_param_inf2/input/haldaneRatio_1.txt"	5.19
1	1	0	1	8.1	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/ENO/ENO_param_inf2/input/absRateFor.txt"	330
1	1	0	1	8.1	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/ENO/ENO_param_inf2/input/absRateFor.txt"	330
1	1	0	1	8.1	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/ENO/ENO_param_inf2/input/absRateFor.txt"	330
1	1	0	1	8.1	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/ENO/ENO_param_inf2/input/absRateFor.txt"	330
1	1	0	1	8.1	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/ENO/ENO_param_inf2/input/absRateFor.txt"	330
1	1	0	1	8.1	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/ENO/ENO_param_inf2/input/absRateFor.txt"	330
1	1	0	1	8.1	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/ENO/ENO_param_inf2/input/absRateFor.txt"	330
1	1	0	1	8.1	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/ENO/ENO_param_inf2/input/absRateFor.txt"	330
1	1	0	1	8.1	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/ENO/ENO_param_inf2/input/absRateFor.txt"	330
1	1	0	1	8.1	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/ENO/ENO_param_inf2/input/absRateFor.txt"	330
1	1	0	1	8.1	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/ENO/ENO_param_inf2/input/absRateFor.txt"	330
1	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/ENO/ENO_param_inf2/input/customRatio_1.txt"	3.6000000000000004e-9
1	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/ENO/ENO_param_inf2/input/customRatio_1.txt"	3.6000000000000004e-9
1	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/ENO/ENO_param_inf2/input/customRatio_1.txt"	3.6000000000000004e-9
1	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/ENO/ENO_param_inf2/input/customRatio_1.txt"	3.6000000000000004e-9
1	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/ENO/ENO_param_inf2/input/customRatio_1.txt"	3.6000000000000004e-9
1	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/ENO/ENO_param_inf2/input/customRatio_1.txt"	3.6000000000000004e-9
1	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/ENO/ENO_param_inf2/input/customRatio_1.txt"	3.6000000000000004e-9
1	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/ENO/ENO_param_inf2/input/customRatio_1.txt"	3.6000000000000004e-9
1	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/ENO/ENO_param_inf2/input/customRatio_1.txt"	3.6000000000000004e-9
1	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/ENO/ENO_param_inf2/input/customRatio_1.txt"	3.6000000000000004e-9
1	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/ENO/ENO_param_inf2/input/customRatio_1.txt"	3.6000000000000004e-9
