	ligand	mean	var_propagated	std_propagated	var	std	median	mad	std_prop %	std %
APO_S7P_linear_cl101	S7P_linear	-41.708055303	97.4392301354	9.87113114771	97.4392301354	9.87113114771	-44.81455	5.12065	23.6672054738	23.6672054738
APO_S7P_linear_cl101_2	S7P_linear	-20.7850166667	83.3207176697	9.12801827725	83.3207176697	9.12801827725	-21.2987	6.7266	43.916338503	43.916338503
APO_S7P_linear_cl102	S7P_linear	13.6094333333	189.676821833	13.7723208586	189.676821833	13.7723208586	12.48655	10.3187	101.196872208	101.196872208
APO_S7P_linear_cl102_2	S7P_linear	1.94218030303	71.8354339082	8.4755786769	71.8354339082	8.4755786769	1.8538	5.4348	436.395048579	436.395048579
APO_S7P_linear_cl212	S7P_linear	-29.6884772727	90.4909558218	9.51267343189	90.4909558218	9.51267343189	-28.01925	7.39885	32.0416346871	32.0416346871
APO_S7P_linear_cl212_2	S7P_linear	-38.5227174242	91.7174393811	9.57692222904	91.7174393811	9.57692222904	-40.67125	5.6515	24.8604534399	24.8604534399
APO_F6P_cl202	F6P	-24.9841045455	53.8691796633	7.33956263433	53.8691796633	7.33956263433	-25.2667	4.92065	29.3769289229	29.3769289229
APO_F6P_cl202_2	F6P	-18.5220545455	63.8159823658	7.98849061875	63.8159823658	7.98849061875	-19.4697	4.65365	43.1296139375	43.1296139375
APO_F6P_cl212	F6P	-6.73326818182	55.7070240005	7.46371382091	55.7070240005	7.46371382091	-7.23005	5.7213	110.848307529	110.848307529
APO_F6P_cl212_2	F6P	-14.8041583333	94.4817340677	9.72017150403	94.4817340677	9.72017150403	-13.29655	6.46815	65.6583865504	65.6583865504
APO_F6P_cl321	F6P	-18.1696333333	124.861334123	11.1741368402	124.861334123	11.1741368402	-17.90285	7.9013	61.4989671788	61.4989671788
APO_F6P_cl321_2	F6P	-31.9987840909	260.738693723	16.14740517	260.738693723	16.14740517	-36.8097	11.85805	50.46255859	50.46255859
HALO_S7P_remS7P_S7P_linear_cl101	S7P_linear	-18.8268931818	75.6875161325	8.69985724782	75.6875161325	8.69985724782	-19.3611	5.6453	46.2097339365	46.2097339365
HALO_S7P_remS7P_S7P_linear_cl101_2	S7P_linear	-10.905344697	53.4367720881	7.31004597031	53.4367720881	7.31004597031	-12.3863	3.4347	67.0317736251	67.0317736251
HALO_S7P_remS7P_S7P_linear_cl302	S7P_linear	-25.2518628788	33.3473404201	5.77471561378	33.3473404201	5.77471561378	-25.19745	4.3541	22.8684736706	22.8684736706
HALO_S7P_remS7P_S7P_linear_cl302_2	S7P_linear	-22.8572469697	59.8117846193	7.73380789904	59.8117846193	7.73380789904	-24.33965	5.22035	33.8352554413	33.8352554413
HALO_S7P_remS7P_S7P_linear_cl322	S7P_linear	-5.2449780303	49.4212751204	7.03002667992	49.4212751204	7.03002667992	-4.9814	5.0078	134.033481919	134.033481919
HALO_S7P_remS7P_S7P_linear_cl322_2	S7P_linear	-12.218194697	27.5819476713	5.25185183257	27.5819476713	5.25185183257	-12.89735	3.2027	42.9838610599	42.9838610599
HALO_S7P_remS7P_F6P_cl101	F6P	-19.1550356061	117.355379996	10.8330688171	117.355379996	10.8330688171	-20.59465	8.5119	56.5546785707	56.5546785707
HALO_S7P_remS7P_F6P_cl101_2	F6P	-11.0452439394	92.4696519014	9.61611417889	92.4696519014	9.61611417889	-11.9269	6.3084	87.0611299456	87.0611299456
HALO_S7P_remS7P_F6P_cl201	F6P	-27.414219697	46.1164749393	6.79091120096	46.1164749393	6.79091120096	-28.60325	5.08355	24.7714918609	24.7714918609
HALO_S7P_remS7P_F6P_cl201_2	F6P	-20.2897795455	63.3689977413	7.96046466868	63.3689977413	7.96046466868	-21.87995	3.63355	39.2338647685	39.2338647685
HALO_S7P_remS7P_F6P_cl311	F6P	5.1865530303	49.7173358551	7.0510521098	49.7173358551	7.0510521098	5.7936	4.12925	135.948713309	135.948713309
HALO_S7P_remS7P_F6P_cl311_2	F6P	-8.36424848485	53.6591651707	7.32524164589	53.6591651707	7.32524164589	-8.82355	5.2268	87.5780012892	87.5780012892
S7P_linear sumup	S7P_linear	-17.5380977904	6.41505024167	2.53279494663	237.103110845	15.3981528387	-19.8059549242	9.39156628788	14.4416742163	87.7983064228
F6P sumup	F6P	-16.3578314394	7.47333995519	2.73374101831	93.6561948548	9.67761307631	-18.3458439394	6.96943030303	16.7121236604	59.1619562298
ddG	F6P-S7P_linear	1.18026635101	13.8883901969	3.72671305534	330.7593057	18.1867893181	1.46011098485	16.3609965909	315.751868394	1540.90551701
dKd	F6P-S7P_linear	7.33063381114	0.0135969341476	3952.22860459	3.42080270718e-13	1.5709234549e+14	11.7562586841	1.15602395174e+13	53913.8730212	2.14295720585e+15
