Priority	e4p[c]	f6p[c]	g3p[c]	s7p[c]	pi[c]	param_TALA2_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Dropbox/PhD_stuff/Projects/MD/eMASS-MD/enzyme_models/TALA2/TALA2_param_inf/input/haldaneRatio_1.txt"	0.762
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Dropbox/PhD_stuff/Projects/MD/eMASS-MD/enzyme_models/TALA2/TALA2_param_inf/input/haldaneRatio_1.txt"	0.762
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Dropbox/PhD_stuff/Projects/MD/eMASS-MD/enzyme_models/TALA2/TALA2_param_inf/input/haldaneRatio_1.txt"	0.762
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Dropbox/PhD_stuff/Projects/MD/eMASS-MD/enzyme_models/TALA2/TALA2_param_inf/input/haldaneRatio_1.txt"	0.762
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Dropbox/PhD_stuff/Projects/MD/eMASS-MD/enzyme_models/TALA2/TALA2_param_inf/input/haldaneRatio_1.txt"	0.762
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Dropbox/PhD_stuff/Projects/MD/eMASS-MD/enzyme_models/TALA2/TALA2_param_inf/input/haldaneRatio_1.txt"	0.762
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Dropbox/PhD_stuff/Projects/MD/eMASS-MD/enzyme_models/TALA2/TALA2_param_inf/input/haldaneRatio_1.txt"	0.762
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Dropbox/PhD_stuff/Projects/MD/eMASS-MD/enzyme_models/TALA2/TALA2_param_inf/input/haldaneRatio_1.txt"	0.762
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Dropbox/PhD_stuff/Projects/MD/eMASS-MD/enzyme_models/TALA2/TALA2_param_inf/input/haldaneRatio_1.txt"	0.762
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Dropbox/PhD_stuff/Projects/MD/eMASS-MD/enzyme_models/TALA2/TALA2_param_inf/input/haldaneRatio_1.txt"	0.762
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Dropbox/PhD_stuff/Projects/MD/eMASS-MD/enzyme_models/TALA2/TALA2_param_inf/input/haldaneRatio_1.txt"	0.762
