	ligand	mean	var_propagated	std_propagated	var	std	median	mad	std_prop %	std %
MG_2PG_cl000	2PG	4.66242063492	108.451445349	10.4140023694	108.451445349	10.4140023694	5.5026	6.131	223.360421224	223.360421224
MG_2PG_cl102	2PG	-21.2378904762	58.2597862021	7.63280984973	58.2597862021	7.63280984973	-22.8457	5.7856	35.9395857055	35.9395857055
MG_2PG_cl203	2PG	-5.65868412698	198.854658011	14.1015835285	198.854658011	14.1015835285	-8.9984	7.0035	249.202521505	249.202521505
MG_PEP_cl000	PEP	-40.3964539683	148.814359283	12.1989491057	148.814359283	12.1989491057	-41.515	7.4543	30.1980691554	30.1980691554
MG_PEP_cl302	PEP	-27.5386634921	52.8409074731	7.26917515769	52.8409074731	7.26917515769	-28.7068	4.7543	26.3962525261	26.3962525261
MG_PEP_cl402	PEP	-27.8991984127	240.198998351	15.4983546982	240.198998351	15.4983546982	-31.8094	6.6693	55.5512544444	55.5512544444
2PG sumup	2PG	-7.41138465608	40.6184321735	6.37325914847	113.340332181	10.646141657	-5.65868412698	10.3211047619	85.9928264989	143.645784844
PEP sumup	PEP	-31.9447719577	49.0949183452	7.00677660163	35.7371286422	5.97805391764	-27.8991984127	0.360534920635	21.9340323071	18.7137160521
ddG	PEP-2PG	-24.5333873016	89.7133505188	9.4717131776	149.077460823	12.2097281224	-22.2405142857	10.6816396825	38.6074416108	49.7678040636
dKd	PEP-2PG	1.03967201668e-18	1.18598750974e-25	9.11407492403e-12	1.16707984278e-27	9.26173054025e-10	4.98407415831e-17	3.36731164102e-09	876629819.575	89083195388.8
