	ligand	mean	var_propagated	std_propagated	var	std	median	mad	std_prop %	std %
MG_2PG_cl000	2PG	0.706346428571	123.233900843	11.1010765624	123.233900843	11.1010765624	2.2948	7.5554	1571.61926688	1571.61926688
MG_2PG_cl102	2PG	-23.9167892857	69.6028155045	8.34283018553	69.6028155045	8.34283018553	-25.68855	6.28115	34.8827348264	34.8827348264
MG_2PG_cl203	2PG	4.59936785714	186.594483981	13.6599591501	186.594483981	13.6599591501	-0.46095	9.89055	296.99644765	296.99644765
MG_PEP_cl000	PEP	-35.31205	172.760175215	13.1438265058	172.760175215	13.1438265058	-34.35205	11.2584	37.2219299243	37.2219299243
MG_PEP_cl302	PEP	-28.8475892857	45.3406231338	6.73354461883	45.3406231338	6.73354461883	-29.3787	4.02125	23.3417931465	23.3417931465
MG_PEP_cl402	PEP	-29.3984107143	268.043353808	16.3720296179	268.043353808	16.3720296179	-34.2552	4.7065	55.6901860341	55.6901860341
2PG sumup	2PG	-6.20369166667	42.1590222588	6.49299794077	159.402849605	12.6254841335	0.706346428571	3.89302142857	104.663453467	203.51566151
PEP sumup	PEP	-31.1860166667	54.0160169064	7.34955895999	8.56264290825	2.92619939653	-29.3984107143	0.550821428571	23.5668409933	9.38304955008
ddG	PEP-2PG	-24.982325	96.1750391652	9.80688733315	167.965492513	12.9601501732	-30.1047571429	4.44384285714	39.2553028317	51.8772779285
dKd	PEP-2PG	4.87329418666e-19	3.15734433039e-26	7.52182649232e-12	1.54157081584e-28	1.54057121383e-09	8.57141589451e-23	1.5502904304e-19	1543478847.0	3.16125223478e+11
