	ligand	mean	var_propagated	std_propagated	var	std	stderr	median	mad	std_prop %	std %
MG_2PG_cl102	2PG	-8.72108416679	79.6829766134	8.92653217176	79.6829766134	8.92653217176	1.10720004873	-9.7122	6.1507	102.355762208	102.355762208
MG_2PG_cl102_2	2PG	-14.1763062588	36.1375632484	6.01145267372	36.1375632484	6.01145267372	0.74562893688	-15.442	3.2479	42.4049294929	42.4049294929
MG_2PG_cl102_3	2PG	-19.3179653131	78.5131070311	8.86076221502	78.5131070311	8.86076221502	1.0990422896	-19.3037	5.3889	45.8679890526	45.8679890526
MG_2PG_cl102_4	2PG	-3.70679226853	50.874443358	7.13263228816	50.874443358	7.13263228816	0.884694152784	-3.78365142857	5.14764857143	192.420609828	192.420609828
MG_2PG_cl102_5	2PG	-23.3988442671	54.6383824448	7.39177803	54.6383824448	7.39177803	0.916837226093	-22.7442	4.7894	31.590355257	31.590355257
MG_2PG_cl102_6	2PG	-13.3751786611	81.0872812747	9.00484765416	81.0872812747	9.00484765416	1.1169138888	-12.8357	6.3579	67.325064452	67.325064452
MG_2PG_cl102_7	2PG	-7.06795895164	57.8967482714	7.60899127818	57.8967482714	7.60899127818	0.943779213681	-7.3178	4.4046	107.654718006	107.654718006
MG_2PG_cl102_8	2PG	-18.9209584749	36.0051336524	6.00042778911	36.0051336524	6.00042778911	0.744261468245	-19.5349	4.0769	31.7131280484	31.7131280484
MG_2PG_cl102_9	2PG	-4.33150024662	51.4159567545	7.17049208594	51.4159567545	7.17049208594	0.889390082753	-5.5357	5.3883	165.54292226	165.54292226
MG_2PG_cl102_10	2PG	-23.7844324102	45.118490761	6.71702990621	45.118490761	6.71702990621	0.833145021645	-24.8531	4.3646	28.2412873697	28.2412873697
MG_2PG_cl202	2PG	-13.4834035074	47.2405617967	6.87317697988	47.2405617967	6.87317697988	0.852512682484	-14.6893	4.5219	50.9750893098	50.9750893098
MG_2PG_cl202_2	2PG	-30.6530447724	96.688401715	9.8330260711	96.688401715	9.8330260711	1.21963677894	-31.7828	5.0649	32.0784644531	32.0784644531
MG_2PG_cl202_3	2PG	-26.942638854	54.1002739653	7.35528884309	54.1002739653	7.35528884309	0.91231129948	-27.611	3.9293	27.2998086154	27.2998086154
MG_2PG_cl202_4	2PG	-12.2831103527	84.1916179398	9.17559905073	84.1916179398	9.17559905073	1.13809299295	-12.6999685714	5.9156685714	74.7009412705	74.7009412705
MG_2PG_cl202_5	2PG	-27.3278238177	70.2796505338	8.38329592307	70.2796505338	8.38329592307	1.0398198848	-29.355	4.1771	30.6767782865	30.6767782865
MG_2PG_cl202_6	2PG	-15.2800714594	38.8564379325	6.23349323674	38.8564379325	6.23349323674	0.773169679183	-15.7966	3.7808	40.7949220219	40.7949220219
MG_2PG_cl202_7	2PG	-25.7416809711	75.5226879844	8.69037904722	75.5226879844	8.69037904722	1.0779088586	-26.765	3.8232	33.7599516402	33.7599516402
MG_2PG_cl202_8	2PG	-15.3725482719	45.6565514492	6.75696318247	45.6565514492	6.75696318247	0.838098134966	-15.1198	3.9941	43.954737126	43.954737126
MG_2PG_cl202_9	2PG	-22.7549093799	70.2360992524	8.38069801701	70.2360992524	8.38069801701	1.03949765421	-22.4402	5.6467	36.8302851798	36.8302851798
MG_2PG_cl202_10	2PG	-28.0363981498	51.6927696418	7.18976839973	51.6927696418	7.18976839973	0.891781015218	-28.6449	3.2005	25.6444082486	25.6444082486
