	ligand	mean	var_propagated	std_propagated	var	std	median	mad	std_prop %	std %
MG_2PG_cl000	2PG	-4.47423484848	260.833650166	16.1503452027	260.833650166	16.1503452027	-1.25435	11.13605	360.96328757	360.96328757
MG_2PG_cl102	2PG	-22.973580303	76.4680338752	8.74460026961	76.4680338752	8.74460026961	-23.65675	5.84985	38.0637243053	38.0637243053
MG_2PG_cl203	2PG	-10.3971901515	176.96476744	13.3028105091	176.96476744	13.3028105091	-12.1101	7.0951	127.946207727	127.946207727
MG_PEP_cl000	PEP	-46.7484992424	136.589626922	11.6871564943	136.589626922	11.6871564943	-48.85445	7.14345	25.0000677747	25.0000677747
MG_PEP_cl302	PEP	-15.3171219697	366.047641584	19.1323715619	366.047641584	19.1323715619	-22.00965	10.3921	124.908397281	124.908397281
MG_PEP_cl402	PEP	-27.6228280303	179.993335524	13.4161594923	179.993335524	13.4161594923	-30.605	7.26235	48.569101895	48.569101895
2PG sumup	2PG	-12.6150017677	57.1407168313	7.55914789055	59.4969745568	7.71342819742	-10.3971901515	5.92295530303	59.9218932329	61.1448839998
PEP sumup	PEP	-29.8961497475	75.8478448922	8.70906682097	167.239242025	12.9321012223	-27.6228280303	12.3057060606	29.1310650185	43.2567448704
ddG	PEP-2PG	-17.2811479798	132.988561723	11.5320666718	226.736216582	15.0577626685	-17.2256378788	18.2286613636	66.7320636644	87.1340415934
dKd	PEP-2PG	2.15192152283e-13	7.58158655647e-22	6.10791185452e-05	1.97426815962e-24	0.0234556091981	2.36328244607e-13	5.43527547328	28383525094.7	1.08998441389e+13
