	ligand	mean	var_propagated	std_propagated	var	std	median	mad	std_prop %	std %
MG_2PG_cl000	2PG	2.03207040816	142.882006272	11.9533261593	142.882006272	11.9533261593	2.874	7.447	588.233858006	588.233858006
MG_2PG_cl102	2PG	-21.6302928571	79.3055627458	8.9053670753	79.3055627458	8.9053670753	-23.29225	6.68335	41.1708113899	41.1708113899
MG_2PG_cl203	2PG	-9.3810255102	178.66306607	13.3664904171	178.66306607	13.3664904171	-11.79015	7.02635	142.484320105	142.484320105
MG_PEP_cl000	PEP	-45.2588591837	156.263155785	12.5005262203	156.263155785	12.5005262203	-45.4629	9.6148	27.6200647692	27.6200647692
MG_PEP_cl302	PEP	-22.1127459184	198.939085568	14.1045767596	198.939085568	14.1045767596	-26.36575	6.3372	63.7848271386	63.7848271386
MG_PEP_cl402	PEP	-26.5630010204	214.146279253	14.6337377062	214.146279253	14.6337377062	-30.4977	7.5898	55.0906793058	55.0906793058
2PG sumup	2PG	-9.65974931973	44.5389594541	6.67375152775	93.3567493642	9.66212964952	-9.3810255102	11.4130959184	69.088247602	100.024641735
PEP sumup	PEP	-31.3115353741	63.2609467339	7.95367504578	100.564715803	10.0281960393	-26.5630010204	4.45025510204	25.4017407666	32.0271616178
ddG	PEP-2PG	-21.6517860544	107.799906188	10.3826733642	193.921465167	13.9255687556	-17.1819755102	15.8633510204	47.9529648876	64.3160278815
dKd	PEP-2PG	1.34624910261e-16	3.30042991866e-24	5.49136534012e-09	8.34851652776e-27	2.17090861623e-06	2.54401916108e-13	0.108004343457	4079011328.19	1.61256086412e+12
