	ligand	group	mean	var	std	std %
NAD_G3P_G3P_cl000	G3P	G3P	0.832877246331	0.0654097490927	0.255753297325	30.7072018658
NAD_G3P_backbone_cl000	G3P	backbone	1.17114399571	0.0428439896227	0.206987897286	17.6739921003
NAD_G3P_G3P_cl000_2	G3P	G3P	1.33554092876	0.0861470548708	0.293508185356	21.97672711
NAD_G3P_backbone_cl000_2	G3P	backbone	1.0945182309	0.0573580648091	0.239495437971	21.8813566746
NAD_G3P_G3P_cl000_3	G3P	G3P	1.45386764418	0.083652214924	0.289226926347	19.893621507
NAD_G3P_backbone_cl000_3	G3P	backbone	0.923561667484	0.0228044291017	0.151011354214	16.350976825
NAD_G3P_G3P_cl000_4	G3P	G3P	0.445721809371	0.0225233587584	0.15007784233	33.6707424171
NAD_G3P_backbone_cl000_4	G3P	backbone	1.01839895143	0.0263909965394	0.162453059495	15.9518093835
NAD_G3P_G3P_cl000_5	G3P	G3P	1.15608921387	0.0381555691908	0.195334505889	16.8961446526
NAD_G3P_backbone_cl000_5	G3P	backbone	0.947154883462	0.0225053493089	0.15001782997	15.8387854605
NAD_G3P_G3P_cl001	G3P	G3P	0.979469613459	0.107966292695	0.32858224647	33.546956634
NAD_G3P_backbone_cl001	G3P	backbone	1.08529384511	0.0374173866429	0.19343574293	17.8233520628
NAD_G3P_G3P_cl001_2	G3P	G3P	1.26787244096	0.0381323688695	0.195275110727	15.4017947246
NAD_G3P_backbone_cl001_2	G3P	backbone	1.03379972694	0.026617802912	0.163149633502	15.7815512281
NAD_G3P_G3P_cl001_3	G3P	G3P	1.53283897111	0.0745576708047	0.273052505582	17.8135153612
NAD_G3P_backbone_cl001_3	G3P	backbone	1.06964421168	0.0295627351668	0.171938172512	16.0743330011
NAD_G3P_G3P_cl001_4	G3P	G3P	1.09464492155	0.0355221904565	0.188473314972	17.2177581297
NAD_G3P_backbone_cl001_4	G3P	backbone	1.0571268743	0.0502550886074	0.224176467559	21.206202681
NAD_G3P_G3P_cl001_5	G3P	G3P	1.13262402894	0.149519612883	0.38667766018	34.1399838164
NAD_G3P_backbone_cl001_5	G3P	backbone	1.01491759685	0.0293518712805	0.171323878314	16.8805702892
NAD_G3P_G3P_cl012	G3P	G3P	1.4609569782	0.127521482925	0.357101502271	24.4429854952
NAD_G3P_backbone_cl012	G3P	backbone	1.01011446047	0.0226567684207	0.150521654325	14.9014453525
NAD_G3P_G3P_cl012_2	G3P	G3P	1.28301124922	0.070341982713	0.265220630255	20.6717306973
NAD_G3P_backbone_cl012_2	G3P	backbone	0.879050407197	0.0213492405009	0.146113792987	16.621776384
NAD_G3P_G3P_cl012_3	G3P	G3P	0.806876865854	0.036356292141	0.190673260163	23.6310232988
NAD_G3P_backbone_cl012_3	G3P	backbone	1.05246124604	0.0326725943983	0.180755620655	17.1745630859
NAD_G3P_G3P_cl012_4	G3P	G3P	0.803999449671	0.0626436272332	0.250287089625	31.1302563364
NAD_G3P_backbone_cl012_4	G3P	backbone	1.27436025311	0.0499032801353	0.223390420867	17.5296130213
NAD_G3P_G3P_cl012_5	G3P	G3P	1.2468259777	0.0355408875463	0.188522909871	15.1202263382
NAD_G3P_backbone_cl012_5	G3P	backbone	1.21711337275	0.0564964524007	0.237689823932	19.5289797362
NAD_G3P_G3P_cl010	G3P	G3P	1.15835811129	0.355617210323	0.596336490853	51.4811857438
NAD_G3P_backbone_cl010	G3P	backbone	1.14437224807	0.0479193070944	0.218904790022	19.1288097374
NAD_G3P_G3P_cl010_2	G3P	G3P	0.643726426845	0.133066192059	0.364782390007	56.6673007034
NAD_G3P_backbone_cl010_2	G3P	backbone	1.18445455146	0.0414259312732	0.203533612146	17.1837418241
NAD_G3P_G3P_cl010_3	G3P	G3P	0.745182770425	0.0572993809178	0.239372890942	32.1227087423
NAD_G3P_backbone_cl010_3	G3P	backbone	1.05822944821	0.0355510240145	0.188549791871	17.8174773146
NAD_G3P_G3P_cl010_4	G3P	G3P	1.2294440681	0.0842143470716	0.290197083155	23.6039272289
NAD_G3P_backbone_cl010_4	G3P	backbone	0.933047360064	0.0181090880757	0.1345700118	14.4226346442
NAD_G3P_G3P_cl010_5	G3P	G3P	0.98286266633	0.0840051587682	0.289836434508	29.4890063929
NAD_G3P_backbone_cl010_5	G3P	backbone	1.099171719	0.0393010002327	0.198244798753	18.0358351044
NAD_G3P_G3P_cl002	G3P	G3P	1.21114687779	0.0450367159943	0.212218557139	17.522115693
