	ligand	mean	var_propagated	std_propagated	var	std	median	mad	std_prop %	std %
APO_2PG_cl000	2PG	-26.6174079365	66.0946799804	8.12986346628	66.0946799804	8.12986346628	-27.1687	4.2459	30.5434078543	30.5434078543
APO_2PG_cl000_2	2PG	-125.768303175	139.436076986	11.808305424	139.436076986	11.808305424	-124.166	7.3588	9.38893594483	9.38893594483
APO_2PG_cl000_3	2PG	-57.8830809524	62.8878416628	7.93018547468	62.8878416628	7.93018547468	-58.1254	5.7766	13.7003513707	13.7003513707
APO_2PG_cl000_4	2PG	-100.700092063	170.792011905	13.0687417874	170.792011905	13.0687417874	-98.5065	12.251	12.977884647	12.977884647
APO_2PG_cl100	2PG	-90.9036428571	181.079420377	13.4565753584	181.079420377	13.4565753584	-91.3213	10.0427	14.8031200241	14.8031200241
APO_2PG_cl100_2	2PG	-114.644139683	118.593033377	10.8900428547	118.593033377	10.8900428547	-114.7456	6.1078	9.49899653385	9.49899653385
APO_2PG_cl100_3	2PG	-9.8958968254	611.640028343	24.7313571877	611.640028343	24.7313571877	-19.1416	16.4542	249.915269167	249.915269167
APO_2PG_cl100_4	2PG	-183.833736508	109.072502838	10.4437781879	109.072502838	10.4437781879	-183.7774	7.9346	5.68109988203	5.68109988203
APO_2PG_cl200	2PG	-75.3044253968	259.846570022	16.1197571328	259.846570022	16.1197571328	-75.4669	10.6302	21.4061219482	21.4061219482
APO_2PG_cl200_2	2PG	-22.2091206349	251.904255492	15.8714919114	251.904255492	15.8714919114	-22.6949	10.0928	71.4638466432	71.4638466432
APO_2PG_cl200_3	2PG	-43.0072460317	309.695832749	17.5981769723	309.695832749	17.5981769723	-46.4074	15.146	40.9190975849	40.9190975849
APO_2PG_cl200_4	2PG	-95.5880714286	129.783681735	11.392264118	129.783681735	11.392264118	-97.8054	6.2206	11.9180813545	11.9180813545
APO_PEP_cl000	PEP	-51.0033952381	57.7447903935	7.59899930211	57.7447903935	7.59899930211	-51.3145	5.2365	14.8990067556	14.8990067556
APO_PEP_cl000_2	PEP	-164.57925873	2054.69681895	45.3287637042	2054.69681895	45.3287637042	-175.5573	31.4002	27.5422091787	27.5422091787
APO_PEP_cl000_3	PEP	-3.11910634921	46.7842777771	6.8399033456	46.7842777771	6.8399033456	-2.6834	4.4337	219.290481946	219.290481946
APO_PEP_cl000_4	PEP	-11.3536222222	123.722275537	11.1230515389	123.722275537	11.1230515389	-12.6965	8.5678	97.9691883453	97.9691883453
APO_PEP_cl100	PEP	-39.1062365079	1033.81814828	32.1530425975	1033.81814828	32.1530425975	-33.2722	16.8151	82.2197313489	82.2197313489
APO_PEP_cl100_2	PEP	-24.332652381	86.9340904396	9.32384526039	86.9340904396	9.32384526039	-24.0763	6.3753	38.3182446139	38.3182446139
APO_PEP_cl100_3	PEP	-76.7496206349	88.770408535	9.42180495102	88.770408535	9.42180495102	-75.5724	6.3634	12.2760280417	12.2760280417
APO_PEP_cl100_4	PEP	-58.0649380952	145.753235092	12.0728304507	145.753235092	12.0728304507	-59.1181	8.4285	20.7919457882	20.7919457882
APO_PEP_cl110	PEP	-5.25726984127	405.615591845	20.1399004924	405.615591845	20.1399004924	-8.5866	11.1589	383.086679979	383.086679979
APO_PEP_cl110_2	PEP	-3.3656031746	406.910736676	20.1720285712	406.910736676	20.1720285712	0.9043	14.0698	599.358496075	599.358496075
APO_PEP_cl110_3	PEP	-70.0576412698	427.262413651	20.6703268879	427.262413651	20.6703268879	-71.5493	15.4252	29.5047428278	29.5047428278
APO_PEP_cl110_4	PEP	-22.7135174603	202.204552361	14.2198647097	202.204552361	14.2198647097	-21.2924	7.4422	62.6052954348	62.6052954348
2PG sumup	2PG	-78.862930291	16.7418467741	4.09168018961	2319.58311974	48.1620506181	-83.104034127	35.8184468254	5.18834409844	61.0705821359
PEP sumup	PEP	-44.1419051587	35.2792870801	5.93963694851	1940.88157962	44.0554375715	-31.7194444444	26.403834127	13.45577842	99.80411451
ddG	PEP-2PG	34.7210251323	52.0211338542	7.2125677712	4260.46469936	65.272235287	51.3845896825	62.2222809524	20.7729113519	187.990518823
dKd	PEP-2PG	2.82290635246e+25	1.45829657118e+20	5.4644579383e+30	4.03459671858e-23	1.97511692757e+73	4.62570674537e+37	1.88122895354e+83	19357560.103	6.99674973577e+49
