	ligand	mean	var_propagated	std_propagated	var	std	median	mad	std_prop %	std %
APO_2PG_cl000	2PG	-23.1546949894	67.2030592356	8.19774720491	67.2030592356	8.19774720491	-22.9131	6.0385	35.4042547684	35.4042547684
APO_2PG_cl000_2	2PG	-134.194860601	181.872497399	13.4860111745	181.872497399	13.4860111745	-133.9882	11.0851	10.0495735188	10.0495735188
APO_2PG_cl000_3	2PG	-58.9740365283	52.7218046043	7.26097821263	52.7218046043	7.26097821263	-59.6094	4.9364	12.3121608085	12.3121608085
APO_2PG_cl000_4	2PG	-107.389389655	126.591068859	11.2512696554	126.591068859	11.2512696554	-109.6422	7.4963	10.4770775693	10.4770775693
APO_2PG_cl100	2PG	-83.4255312057	180.051397153	13.4183231871	180.051397153	13.4183231871	-83.8615	8.7031	16.0841926844	16.0841926844
APO_2PG_cl100_2	2PG	-127.52339228	207.963262918	14.4209314165	207.963262918	14.4209314165	-127.4447	9.6718	11.308459694	11.308459694
APO_2PG_cl100_3	2PG	2.976668867	350.5163589	18.7220821198	350.5163589	18.7220821198	5.851	10.5677	628.96086049	628.96086049
APO_2PG_cl100_4	2PG	-189.475631034	109.613992887	10.4696701422	109.613992887	10.4696701422	-190.0134	6.8308	5.52560246669	5.52560246669
APO_2PG_cl200	2PG	-88.8619216936	422.321438754	20.5504607918	422.321438754	20.5504607918	-88.1543	15.8623	23.1262844648	23.1262844648
APO_2PG_cl200_2	2PG	-13.7184387779	209.869457547	14.4868719035	209.869457547	14.4868719035	-14.612	8.262	105.601461931	105.601461931
APO_2PG_cl200_3	2PG	-46.1496263476	159.430387775	12.6265746652	159.430387775	12.6265746652	-46.9813	7.1709	27.3600799496	27.3600799496
APO_2PG_cl200_4	2PG	-94.019944335	116.361739162	10.7871098614	116.361739162	10.7871098614	-94.7493	7.5	11.4732144735	11.4732144735
APO_PEP_cl000	PEP	-53.1792657776	94.7242391855	9.73263783286	94.7242391855	9.73263783286	-51.7046	6.4388	18.3015648873	18.3015648873
APO_PEP_cl000_2	PEP	-165.906961642	957.362744171	30.9412789679	957.362744171	30.9412789679	-167.8606	17.9638	18.6497773582	18.6497773582
APO_PEP_cl000_3	PEP	-5.97382090077	106.696420365	10.3293959342	106.696420365	10.3293959342	-5.0103	5.8934	172.911041455	172.911041455
APO_PEP_cl000_4	PEP	-20.8870334975	235.445971199	15.3442487988	235.445971199	15.3442487988	-20.836	9.2531	73.4630353353	73.4630353353
APO_PEP_cl100	PEP	-76.9292567511	1119.50610803	33.459021325	1119.50610803	33.459021325	-89.542	14.6299795238	43.4932335733	43.4932335733
APO_PEP_cl100_2	PEP	0.779868524513	580.999596307	24.1039332124	580.999596307	24.1039332124	-0.9571	18.5618	3090.76882253	3090.76882253
APO_PEP_cl100_3	PEP	-76.7144466995	75.1980579921	8.67168138207	75.1980579921	8.67168138207	-76.136	5.3265	11.3038440022	11.3038440022
APO_PEP_cl100_4	PEP	-60.2574571429	123.218711194	11.1003923892	123.218711194	11.1003923892	-61.0152	7.5727	18.4216077404	18.4216077404
APO_PEP_cl110	PEP	2.43937054656	346.885388273	18.6248594162	346.885388273	18.6248594162	3.5208	12.2246	763.510875477	763.510875477
APO_PEP_cl110_2	PEP	-12.5856464251	253.662806123	15.9267952245	253.662806123	15.9267952245	-13.5312	10.9819	126.547295916	126.547295916
APO_PEP_cl110_3	PEP	-64.3296692189	403.860233651	20.0962741236	403.860233651	20.0962741236	-59.2709	15.3282	31.2395110493	31.2395110493
APO_PEP_cl110_4	PEP	-7.73797980296	324.051594839	18.0014331329	324.051594839	18.0014331329	-7.9431	13.2638	232.637375534	232.637375534
2PG sumup	2PG	-80.3258998817	15.1702532305	3.89490092692	2859.49174902	53.4742157401	-86.1437264497	40.6868829662	4.84887306915	66.5715738247
PEP sumup	PEP	-45.1068582323	32.0945268842	5.66520316354	2183.90691085	46.7322898096	-37.0331496376	30.1772492857	12.5595161924	103.603513171
ddG	PEP-2PG	35.2190416495	47.2647801147	6.87493855352	5043.39865987	71.016889962	49.1105768121	70.8641322519	19.520515697	201.643448078
dKd	PEP-2PG	6.54252261283e+25	5.97556028222e+20	7.16327844047e+30	5.7542191608e-27	7.43882027139e+77	9.96126612509e+35	8.75187610126e+87	10948801.9597	1.13699572957e+54
