	ligand	group	mean	var	std	std %
MG_2PG_2PG_cl000	2PG	2PG	1.43598088509	0.0996062626233	0.315604598546	21.9783286687
MG_2PG_backbone_cl000	2PG	backbone	1.03609820856	0.0365088892183	0.191072994477	18.4415910479
MG_2PG_2PG_cl102	2PG	2PG	0.995825987341	0.0657127101311	0.256344904633	25.7419376368
MG_2PG_backbone_cl102	2PG	backbone	1.05970029863	0.0186781742906	0.136668117316	12.8968650375
MG_2PG_2PG_cl202	2PG	2PG	0.71418124098	0.0660686263936	0.257038180809	35.9906093944
MG_2PG_backbone_cl202	2PG	backbone	1.01521853903	0.0173085862445	0.131562100335	12.9589930913
MG_2PG_2PG_cl203	2PG	2PG	0.872800778234	0.112137500987	0.334869378992	38.3672181949
MG_2PG_backbone_cl203	2PG	backbone	1.03656372709	0.0141448961911	0.11893231769	11.473710162
MG_PEP_PEP_cl000	PEP	PEP	0.894208890737	0.180680917354	0.425065780031	47.535400781
MG_PEP_backbone_cl000	PEP	backbone	1.18162417445	0.0596573149647	0.244248469728	20.6705714905
MG_PEP_PEP_cl302	PEP	PEP	0.53941822708	0.146585760158	0.382865198416	70.97743072
MG_PEP_backbone_cl302	PEP	backbone	0.888686825076	0.0124005726842	0.111357858655	12.5306075788
MG_PEP_PEP_cl312	PEP	PEP	0.24900971667	0.00406727604866	0.0637751993227	25.6115304156
MG_PEP_backbone_cl312	PEP	backbone	0.996320728967	0.0126298230873	0.112382485678	11.2797498246
MG_PEP_PEP_cl402	PEP	PEP	0.783095705382	0.192379956682	0.438611395978	56.0099350518
MG_PEP_backbone_cl402	PEP	backbone	0.965205970036	0.0171952384395	0.13113061595	13.5857651135
