Priority	e4p[c]	f6p[c]	g3p[c]	s7p[c]	pi[c]	param_TALA2_total	param_pH	param_Temp	FileFlag	Target_Data
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/haldaneRatio_1.txt"	1.31
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/haldaneRatio_1.txt"	1.31
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/haldaneRatio_1.txt"	1.31
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/haldaneRatio_1.txt"	1.31
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/haldaneRatio_1.txt"	1.31
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/haldaneRatio_1.txt"	1.31
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/haldaneRatio_1.txt"	1.31
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/haldaneRatio_1.txt"	1.31
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/haldaneRatio_1.txt"	1.31
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/haldaneRatio_1.txt"	1.31
1	0	0	0	0	0	1	7.5	25	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/haldaneRatio_1.txt"	1.31
1	0	0	3.7999999999999996e-6	1	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateFor_g3p.txt"	0.09090909090909091
1	0	0	6.022594131352233e-6	1	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateFor_g3p.txt"	0.13680688860321005
1	0	0	9.545168439736411e-6	1	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateFor_g3p.txt"	0.20076000891310186
1	0	0	0.000015128072481032882	1	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateFor_g3p.txt"	0.2847472489508012
1	0	0	0.00002397637909024733	1	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateFor_g3p.txt"	0.3868631798468568
1	0	0	0.000037999999999999995	1	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateFor_g3p.txt"	0.49999999999999994
1	0	0	0.000060225941313522335	1	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateFor_g3p.txt"	0.6131368201531431
1	0	0	0.00009545168439736412	1	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateFor_g3p.txt"	0.7152527510491987
1	0	0	0.00015128072481032897	1	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateFor_g3p.txt"	0.7992399910868984
1	0	0	0.0002397637909024733	1	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateFor_g3p.txt"	0.86319311139679
1	0	0	0.00037999999999999997	1	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateFor_g3p.txt"	0.9090909090909091
1	9.000000000000007e-6	1	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateRev_e4p.txt"	0.09090909090909098
1	0.000014264038732150038	1	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateRev_e4p.txt"	0.13680688860321014
1	0.000022606977883586257	1	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateRev_e4p.txt"	0.20076000891310197
1	0.00003582964534981475	1	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateRev_e4p.txt"	0.2847472489508014
1	0.00005678616100321741	1	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateRev_e4p.txt"	0.38686317984685703
1	0.00009000000000000007	1	0	0	0	1	8.5	30	"/home/mrama/Desktop/MD/eMASS-MD_complete_data/enzyme_models/TALA2/TALA2_param_scan2/input/relRateRev_e4p.txt"	0.5000000000000002
